,Alpha,Corrected,,"1st value = mean","2nd value = std dev"
,0.05,0.005000
,
Pima (Training error),,,Unmodified CN2,,Unmodified C4.5,,HybridSOM (CN2),,HybridSOM (C4.5),,,Pima (Training error (misclassified)),,,Unmodified CN2,,Unmodified C4.5,,HybridSOM (CN2),,HybridSOM (C4.5),,,Pima (Training error (unclassified)),,,Unmodified CN2,,Unmodified C4.5,,HybridSOM (CN2),,HybridSOM (C4.5),,,Pima (Generalization error),,,Unmodified CN2,,Unmodified C4.5,,HybridSOM (CN2),,HybridSOM (C4.5),,,Pima (Generalization error (misclassified)),,,Unmodified CN2,,Unmodified C4.5,,HybridSOM (CN2),,HybridSOM (C4.5),,,Pima (Generalization error (unclassified)),,,Unmodified CN2,,Unmodified C4.5,,HybridSOM (CN2),,HybridSOM (C4.5),,,Pima (Total conditions in rule set),,,Unmodified CN2,,Unmodified C4.5,,HybridSOM (CN2),,HybridSOM (C4.5),,,Pima (Rules in rule set),,,Unmodified CN2,,Unmodified C4.5,,HybridSOM (CN2),,HybridSOM (C4.5),,,Pima (Mean conditions per rule),,,Unmodified CN2,,Unmodified C4.5,,HybridSOM (CN2),,HybridSOM (C4.5),,,
,,,25.953,1.711,25.141,0.407,31.175,4.232,26.563,1.339,,,,,25.953,1.711,25.141,0.407,31.175,4.232,26.563,1.339,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,26.667,8.683,24.667,8.604,30.267,9.017,26.400,8.700,,,,,26.667,8.683,24.667,8.604,30.267,9.017,26.400,8.700,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,2.933,0.365,3.500,1.592,1.667,0.606,3.200,0.610,,,,,1.967,0.183,3.233,0.728,1.600,0.498,3.100,0.305,,,,,1.483,0.091,1.049,0.155,1.033,0.127,1.025,0.076,,
Unmodified C4.5,25.141,0.407,3.725e-09,Different ←,,,,,,,,Unmodified C4.5,25.141,0.407,3.725e-09,Different ←,,,,,,,,Unmodified C4.5,0.000,0.000,NA,Similar □,,,,,,,,Unmodified C4.5,24.667,8.604,0.175,Similar □,,,,,,,,Unmodified C4.5,24.667,8.604,0.175,Similar □,,,,,,,,Unmodified C4.5,0.000,0.000,NA,Similar □,,,,,,,,Unmodified C4.5,3.500,1.592,0.125,Similar □,,,,,,,,Unmodified C4.5,3.233,0.728,1.863e-09,Different ↑,,,,,,,,Unmodified C4.5,1.049,0.155,1.490e-08,Different ←,,,,,,,,
HybridSOM (CN2),31.175,4.232,1.118e-08,Different ↑,1.863e-09,Different ↑,,,,,,HybridSOM (CN2),31.175,4.232,1.118e-08,Different ↑,1.863e-09,Different ↑,,,,,,HybridSOM (CN2),0.000,0.000,NA,Similar □,NA,Similar □,,,,,,HybridSOM (CN2),30.267,9.017,0.040,Similar □,2.356e-03,Different ↑,,,,,,HybridSOM (CN2),30.267,9.017,0.040,Similar □,2.356e-03,Different ↑,,,,,,HybridSOM (CN2),0.000,0.000,NA,Similar □,NA,Similar □,,,,,,HybridSOM (CN2),1.667,0.606,1.490e-08,Different ←,7.451e-09,Different ←,,,,,,HybridSOM (CN2),1.600,0.498,9.766e-04,Different ←,1.863e-09,Different ←,,,,,,HybridSOM (CN2),1.033,0.127,1.490e-08,Different ←,0.875,Similar □,,,,,,
HybridSOM (C4.5),26.563,1.339,1.207e-03,Different ↑,2.980e-08,Different ↑,1.598e-05,Different ←,,,,HybridSOM (C4.5),26.563,1.339,1.207e-03,Different ↑,2.980e-08,Different ↑,1.598e-05,Different ←,,,,HybridSOM (C4.5),0.000,0.000,NA,Similar □,NA,Similar □,NA,Similar □,,,,HybridSOM (C4.5),26.400,8.700,0.961,Similar □,0.130,Similar □,0.074,Similar □,,,,HybridSOM (C4.5),26.400,8.700,0.961,Similar □,0.130,Similar □,0.074,Similar □,,,,HybridSOM (C4.5),0.000,0.000,NA,Similar □,NA,Similar □,NA,Similar □,,,,HybridSOM (C4.5),3.200,0.610,0.125,Similar □,0.438,Similar □,3.725e-09,Different ↑,,,,HybridSOM (C4.5),3.100,0.305,1.863e-09,Different ↑,0.438,Similar □,1.863e-09,Different ↑,,,,HybridSOM (C4.5),1.025,0.076,3.725e-09,Different ←,0.438,Similar □,1.000,Similar □,,,,
SIG* algorithm,30.740,1.808,4.470e-08,Different ↑,1.863e-09,Different ↑,0.719,Similar □,1.863e-08,Different ↑,,SIG* algorithm,28.367,1.704,7.702e-06,Different ↑,9.313e-09,Different ↑,1.900e-03,Different ←,2.287e-04,Different ↑,,SIG* algorithm,2.373,0.643,1.863e-09,Different ↑,1.863e-09,Different ↑,1.863e-09,Different ↑,1.863e-09,Different ↑,,SIG* algorithm,31.467,8.320,4.742e-05,Different ↑,7.153e-07,Different ↑,0.221,Similar □,1.726e-03,Different ↑,,SIG* algorithm,29.467,8.819,6.752e-03,Similar □,1.068e-04,Different ↑,0.694,Similar □,0.048,Similar □,,SIG* algorithm,2.000,2.519,2.441e-04,Different ↑,2.441e-04,Different ↑,2.441e-04,Different ↑,2.441e-04,Different ↑,,SIG* algorithm,315.667,126.061,1.863e-09,Different ↑,1.863e-09,Different ↑,1.863e-09,Different ↑,1.863e-09,Different ↑,,SIG* algorithm,12.700,3.196,1.863e-09,Different ↑,1.863e-09,Different ↑,1.863e-09,Different ↑,1.863e-09,Different ↑,,SIG* algorithm,23.885,4.197,1.863e-09,Different ↑,1.863e-09,Different ↑,1.863e-09,Different ↑,1.863e-09,Different ↑,,






